#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
         604    -5.46222    -5.46579 0.000586876
         605    -5.46155    -5.46578 0.000585948
         606    -5.46186    -5.46578 0.000585017
         607    -5.46249    -5.46577 0.000584078
         608    -5.46313    -5.46577 0.000583134
         609    -5.46279    -5.46576 0.000582197
         610     -5.4631    -5.46576 0.000581259
         611    -5.46276    -5.46575 0.000580328
         612    -5.46243    -5.46575 0.000579405
         613    -5.46242    -5.46574 0.000578485
         614    -5.46274    -5.46574 0.000577564
         615    -5.46274    -5.46573 0.000576645
         616    -5.46306    -5.46573 0.000575726
         617    -5.46306    -5.46572 0.000574809
         618    -5.46241    -5.46572 0.000573904
         619    -5.46241    -5.46571 0.000573001
         620    -5.46209    -5.46571 0.000572107
         621    -5.46242     -5.4657  0.00057121
         622    -5.46242     -5.4657 0.000570316
         623    -5.46243    -5.46569 0.000569425
         624    -5.46308    -5.46569 0.000568528
         625    -5.46341    -5.46568  0.00056763
         626    -5.46342    -5.46568 0.000566735
         627    -5.46376    -5.46568 0.000565839
         628    -5.46312    -5.46567 0.000564953
         629    -5.46313    -5.46567 0.000564069
         630    -5.46314    -5.46567 0.000563188
         631    -5.46316    -5.46566 0.000562309
         632    -5.46382    -5.46566 0.000561427
         633    -5.46416    -5.46566 0.000560545
         634     -5.4645    -5.46565 0.000559664
         635    -5.46451    -5.46565 0.000558786
         636    -5.46453    -5.46565  0.00055791
         637    -5.46455    -5.46565 0.000557037
         638    -5.46424    -5.46565 0.000556168
         639    -5.46426    -5.46564 0.000555302
         640     -5.4646    -5.46564 0.000554436
         641    -5.46429    -5.46564 0.000553576
         642    -5.46431    -5.46564 0.000552717
         643    -5.46401    -5.46564 0.000551863
         644    -5.46435    -5.46563  0.00055101
         645    -5.46469    -5.46563 0.000550158
         646    -5.46471    -5.46563 0.000549308
         647    -5.46538    -5.46563 0.000548459
         648    -5.46507    -5.46563 0.000547613
         649    -5.46476    -5.46563 0.000546771
         650    -5.46478    -5.46563 0.000545932
         651    -5.46447    -5.46563 0.000545096
         652    -5.46417    -5.46562 0.000544264
         653    -5.46483    -5.46562 0.000543432
         654    -5.46517    -5.46562 0.000542602
         655    -5.46551    -5.46562 0.000541773
         656    -5.46552    -5.46562 0.000540948
